id,need_id,revision,description,procurement_method,contract_type,instrument,solicitation_fy,solicitation_quarter,award_fy,award_quarter,pop_months,naics,psc,place,evidence_id
req:lrae_navwar_2024-06:k:12ededcd590f,need:lrae_navwar_2024-06:k:12ededcd590f,lrae_navwar_2024-06,Award DO 6 and fully fund,Small Business Set-Aside,Fixed-Price,Delivery Order/Task Order (not under Federal Supply Schedule Contract),FY24,Q4,FY24,Q4,TBD,"334511 - Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing","5825 - RADIO NAVIGATION EQUIPMENT, EXCEPT AIRBORNE","San Diego, CA",ev:lrae_navwar_2024-06:row75
req:lrae_navwar_2024-06:k:22859ac4a83d,need:lrae_navwar_2024-06:k:22859ac4a83d,lrae_navwar_2024-06,"The Government plans to post a Commercial Solutions Opening (CSO) announcement on eCommerce seeking a UHF SATCOM antenna replacement to the legacy, proprietary OE-570 system procured under N0003918D0004.  The CSO will outline a 3-phase process that will allow the Government to move from announcement to award of either a FAR Part 12 Commercial acquisition or award of an OTA for Prototype (outside IWRP or any other consortium).",TBD,Cost-Reimbursement,Other Transaction Authority,FY25,Q2,FY26,Q3,TBD,334220 - Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,"5820 - RADIO AND TELEVISION COMMUNICATION EQUIPMENT, EXCEPT AIRBORNE","San Diego, CA",ev:lrae_navwar_2024-06:row76
req:lrae_navwar_2024-06:k:d6524a55cb02,need:lrae_navwar_2024-06:k:d6524a55cb02,lrae_navwar_2024-06,Assessment and Authorization (A&A) service re-compete  for PMW 130 A&A services,Small Business Set-Aside,Cost-Reimbursement,Delivery Order/Task Order (not under Federal Supply Schedule Contract),FY24,Q4,FY25,Q2,TBD,541330 - Engineering Services,R425 - SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,"San Diego, CA",ev:lrae_navwar_2024-06:row78
req:lrae_navwar_2024-06:k:3a2a8914007e,need:lrae_navwar_2024-06:k:3a2a8914007e,lrae_navwar_2024-06,For the production of the HPTE tube type transmitter conversion to solid state transmitter.,Full and Open Competition,Fixed-Price,"""C"" Type Contract",FY25,Q2,FY26,Q2,TBD,334220 - Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,"5820 - RADIO AND TELEVISION COMMUNICATION EQUIPMENT, EXCEPT AIRBORNE","San Diego, CA",ev:lrae_navwar_2024-06:row79
req:lrae_navwar_2024-06:k:68d0ef530607,need:lrae_navwar_2024-06:k:68d0ef530607,lrae_navwar_2024-06,"T-AGOS C4I DETAIL DESIGN ENGINEERING,  
T-AGOS 25 PROCUREMENT, CSIF, SHIPBOARD, AND POST DELIVERY, and 
T-AGOS 26 PROCUREMENT, CSIF, SHIPBOARD, AND POST DELIVERY, and",Full and Open Competition,Cost-Reimbursement,Delivery Order/Task Order (not under Federal Supply Schedule Contract),FY24,Q2,FY24,Q4,TBD,541330 - Engineering Services,"L058 - TECHNICAL REPRESENTATIVE- COMMUNICATION, DETECTION, AND COHERENT RADIATION EQUIPMENT","San Diego, CA",ev:lrae_navwar_2024-06:row86
req:lrae_navwar_2024-06:k:48bd7743c8ef,need:lrae_navwar_2024-06:k:48bd7743c8ef,lrae_navwar_2024-06,"NSC2I.  LSM 1 and 2 
Sub-Task 1, Phase I - LSM 1 Class Requirements Determination 
Sub-Task 2, Phase II– LSM 1 Design Engineering and Procurement (DE&P)
Sub-Task-3, Phase III – LSM 1 C-SIF Integration & Test 
Sub-Task 4, Phase IV – LSM 1 Shipboard Installation & Trials
Sub-Task 5, Phase V - LSM 1 Post-Delivery 

Sub-Task 6 Phase II – LSM 2 Design Engineering and Procurement (DE&P) 
Sub-Task 7 Phase III – LSM 2 C-SIF Integration & Test 
Sub-Task 8 Phase IV – LSM 2 Shipboard Installation & Trials
Sub-Task 9 Phase V – LSM 2 Post-Delivery",Full and Open Competition,Cost-Reimbursement,Delivery Order/Task Order (not under Federal Supply Schedule Contract),FY24,Q2,FY24,Q4,TBD,541330 - Engineering Services,"L058 - TECHNICAL REPRESENTATIVE- COMMUNICATION, DETECTION, AND COHERENT RADIATION EQUIPMENT","San Diego, CA",ev:lrae_navwar_2024-06:row90
req:lrae_navwar_2024-06:k:2b08f3142c80,need:lrae_navwar_2024-06:k:2b08f3142c80,lrae_navwar_2024-06,Production contract for MOS Mod cabinets that will include pending ECP,Full and Open Competition,TBD,TBD,TBD,TBD,FY26,Q2,TBD,334220 - Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,5811 - OTHER CRYPTOLOGIC EQUIPMENT AND COMPONENTS,"San Diego, CA",ev:lrae_navwar_2024-06:row95
req:lrae_navwar_2024-06:k:90cdabf2a618,need:lrae_navwar_2024-06:k:90cdabf2a618,lrae_navwar_2024-06,Naval Integrated Tactical Environmental System-Next Generation (NITES-Next) software tools.,Full and Open Competition,Cost-Reimbursement,Single-Award Indefinite-Delivery,FY25,Q2,FY26,Q2,60,TBD - TBD,TBD - TBD,"San Diego, CA",ev:lrae_navwar_2024-06:row96
req:lrae_navwar_2024-06:k:d1f7e455df79,need:lrae_navwar_2024-06:k:d1f7e455df79,lrae_navwar_2024-06,"The Program Executive Office (PEO) for Command, Control, Communications, Computers, and Intelligence (C4I) International Integration Program Office (PMW 740) is acquiring Executive Management; Business Operations and Digital Information; FMS Case Management throughout the FMS case life cycle; Program and Project Management; Systems Engineering; Engineering Technical Assistance; Cybersecurity Analysis, Design, and Technical Assistance; Integrated Logistics Planning and Management; Contracts Management and Acquisition Analysis; and, Financial Management services.",Full and Open Competition,Cost-Reimbursement,Delivery Order/Task Order (not under Federal Supply Schedule Contract),TBD,TBD,FY28,Q1,TBD,541330 - Engineering Services,R425 - SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,"San Diego, CA",ev:lrae_navwar_2024-06:row171
req:lrae_navwar_2024-06:k:5e867534d271,need:lrae_navwar_2024-06:k:5e867534d271,lrae_navwar_2024-06,Common - Services Enterprise Application (C-SEA),TBD,Cost-Reimbursement,"""C"" Type Contract",FY25,Q2,FY25,Q4,TBD,TBD - TBD,TBD - TBD,"San Diego, CA",ev:lrae_navwar_2024-06:row172
req:lrae_navwar_2024-06:k:bcfe0d37e0e1,need:lrae_navwar_2024-06:k:bcfe0d37e0e1,lrae_navwar_2024-06,"PMW 150 NILE In-Service Support contract for Link 22 support, maintenance and upgrade of Link 22 product.",TBD,TBD,TBD,TBD,TBD,FY27,Q4,TBD,TBD - TBD,DA01 - IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SUPPORT SERVICES (LABOR),"San Diego, CA",ev:lrae_navwar_2024-06:row173
req:lrae_navwar_2024-06:k:787f403a8dfe,need:lrae_navwar_2024-06:k:787f403a8dfe,lrae_navwar_2024-06,"NILE PSS contract
Planned award date is based on end of 5-year Seaport Contract N0003921F3010; required award date includes six-month extension, if needed.",TBD,TBD,TBD,TBD,TBD,FY26,Q3,TBD,TBD - TBD,R706 - SUPPORT- MANAGEMENT: LOGISTICS SUPPORT,"San Diego, CA",ev:lrae_navwar_2024-06:row174
req:lrae_navwar_2024-06:k:296125450445,need:lrae_navwar_2024-06:k:296125450445,lrae_navwar_2024-06,"Call 4 Procurement in support of C2P Technology Refresh for AN/UYQ-120 system, subsystems and interfaces.",Full and Open Competition,Fixed-Price,Blanket Purchase Agreement Call,FY24,Q2,FY24,Q4,TBD,334220 - Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,5811 - OTHER CRYPTOLOGIC EQUIPMENT AND COMPONENTS,"San Diego, CA",ev:lrae_navwar_2024-06:row175
req:lrae_navwar_2024-06:k:b619f0b4ee5f,need:lrae_navwar_2024-06:k:b619f0b4ee5f,lrae_navwar_2024-06,"CVN 81 RCS/DS/SSES Design, Procure, Build, Integrate & Test.",Full and Open Competition,Cost-Reimbursement,Delivery Order/Task Order (not under Federal Supply Schedule Contract),FY24,Q4,FY25,Q2,60,541330 - Engineering Services,"L058 - TECHNICAL REPRESENTATIVE- COMMUNICATION, DETECTION, AND COHERENT RADIATION EQUIPMENT","San Diego, CA",ev:lrae_navwar_2024-06:row176
req:lrae_navwar_2024-06:k:aa6719ae6ed7,need:lrae_navwar_2024-06:k:aa6719ae6ed7,lrae_navwar_2024-06,"Provides Professional Support Services for PMW 160, assisting in the prep and maintenance of program planning, production support, acquisition and guidance documents, contract documentation and data management, business management and admin support.  Follow-on to SeaPort-NxG Task Order: N0003920F3016",Service-Disabled Veteran-Owned Small Business Set-Aside,Cost-Reimbursement,Delivery Order/Task Order (not under Federal Supply Schedule Contract),FY25,Q1,FY25,Q4,12,541330 - Engineering Services,R408 - SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,"San Diego, CA",ev:lrae_navwar_2024-06:row177
req:lrae_navwar_2024-06:k:4ec50a467cfc,need:lrae_navwar_2024-06:k:4ec50a467cfc,lrae_navwar_2024-06,L22 end to end test station for the NILE lab and use at testing exercises.,TBD,Fixed-Price,TBD,FY24,Q4,FY25,Q1,TBD,334290 - Other Communications Equipment Manufacturing,5895 - MISCELLANEOUS COMMUNICATION EQUIPMENT,"San Diego, CA",ev:lrae_navwar_2024-06:row178
req:lrae_navwar_2024-06:k:4a37978aaa5a,need:lrae_navwar_2024-06:k:4a37978aaa5a,lrae_navwar_2024-06,"CANES MAC RFP N0003924R9108
3 CTU-3 Kits- 1 DO Award",Full and Open Competition,Fixed-Price,Delivery Order/Task Order (not under Federal Supply Schedule Contract),FY24,Q3,FY24,Q3,TBD,334290 - Other Communications Equipment Manufacturing,7G21 - IT AND TELECOM - NETWORK: DIGITAL NETWORK PRODUCTS (HARDWARE AND PERPETUAL LICENSE SOFTWARE),"San Diego, CA",ev:lrae_navwar_2024-06:row179
req:lrae_navwar_2024-06:k:4b6591ac8346,need:lrae_navwar_2024-06:k:4b6591ac8346,lrae_navwar_2024-06,"Sub-Task 1, Phase I, Section 6.1– LUSV 1 Class Requirements Determination 
Sub-Task 2, Phase II, Section 6.2 – LUSV 1 Design Engineering and Procurement (DE&P) 
Sub-Task-3, Phase III, Section 6.3 – LUSV 1 C-SIF Integration & Test 
Sub-Task 4, Phase IV, Section 6.4 – LUSV 1 Shipboard Installation & Trials 
Sub-Task 5, Phase V, Section 6.5 – LUSV 1 Post-Delivery",Full and Open Competition,Cost-Reimbursement,Delivery Order/Task Order (not under Federal Supply Schedule Contract),FY24,Q3,FY25,Q1,TBD,541330 - Engineering Services,"L058 - TECHNICAL REPRESENTATIVE- COMMUNICATION, DETECTION, AND COHERENT RADIATION EQUIPMENT","San Diego, CA",ev:lrae_navwar_2024-06:row180
req:lrae_navwar_2024-06:k:3ab5f2b3230d,need:lrae_navwar_2024-06:k:3ab5f2b3230d,lrae_navwar_2024-06,NSC2I.  FFG 64.  PHASES 2-5.,Full and Open Competition,Cost-Reimbursement,Delivery Order/Task Order (not under Federal Supply Schedule Contract),TBD,TBD,FY25,Q2,TBD,541330 - Engineering Services,"L058 - TECHNICAL REPRESENTATIVE- COMMUNICATION, DETECTION, AND COHERENT RADIATION EQUIPMENT","San Diego, CA",ev:lrae_navwar_2024-06:row181
req:lrae_navwar_2024-06:k:160b2f503cae,need:lrae_navwar_2024-06:k:160b2f503cae,lrae_navwar_2024-06,"To procure MIDS-LVT terminals, Lot 25 procurement",Full and Open Competition,Fixed-Price,Delivery Order/Task Order (not under Federal Supply Schedule Contract),FY24,Q3,FY24,Q4,TBD,334220 - Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,"5821 - RADIO AND TELEVISION COMMUNICATION EQUIPMENT, AIRBORNE","San Diego, CA",ev:lrae_navwar_2024-06:row183
req:lrae_navwar_2024-06:k:c869443d6b1d,need:lrae_navwar_2024-06:k:c869443d6b1d,lrae_navwar_2024-06,Call 7,Full and Open Competition,Fixed-Price,Blanket Purchase Agreement Call,FY24,Q2,FY24,Q4,TBD,334220 - Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,5811 - OTHER CRYPTOLOGIC EQUIPMENT AND COMPONENTS,"San Diego, CA",ev:lrae_navwar_2024-06:row185
req:lrae_navwar_2024-06:k:620d5245f72c,need:lrae_navwar_2024-06:k:620d5245f72c,lrae_navwar_2024-06,Call 7,Full and Open Competition,Fixed-Price,Blanket Purchase Agreement Call,FY24,Q3,FY24,Q4,TBD,334220 - Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,5811 - OTHER CRYPTOLOGIC EQUIPMENT AND COMPONENTS,"San Diego, CA",ev:lrae_navwar_2024-06:row186
req:lrae_navwar_2024-06:k:f3c6ec89315a,need:lrae_navwar_2024-06:k:f3c6ec89315a,lrae_navwar_2024-06,"NSC2I.  TARC.  PHASE 2-5.
RDTE & SCN.",Full and Open Competition,Cost-Reimbursement,Delivery Order/Task Order (not under Federal Supply Schedule Contract),FY24,Q4,FY25,Q2,TBD,541330 - Engineering Services,"L058 - TECHNICAL REPRESENTATIVE- COMMUNICATION, DETECTION, AND COHERENT RADIATION EQUIPMENT","San Diego, CA",ev:lrae_navwar_2024-06:row187
req:lrae_navwar_2024-06:k:21b192f072ef,need:lrae_navwar_2024-06:k:21b192f072ef,lrae_navwar_2024-06,This procurement is for the development of an uninterruptible power supply and control for MOS Mod.,Full and Open Competition,TBD,TBD,TBD,TBD,FY27,Q2,TBD,TBD - TBD,TBD - TBD,"San Diego, CA",ev:lrae_navwar_2024-06:row188
req:lrae_navwar_2024-06:k:5786a67d8ef9,need:lrae_navwar_2024-06:k:5786a67d8ef9,lrae_navwar_2024-06,Full and Open Competition for the MIDS Weapons Data Link (WDL) SWARMM Family 2 (SF2) Radios,Full and Open Competition,Fixed-Price,Single-Award Indefinite-Delivery,FY24,Q3,FY25,Q1,60,334220 - Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,"5826 - RADIO NAVIGATION EQUIPMENT, AIRBORNE","San Diego, CA",ev:lrae_navwar_2024-06:row189
req:lrae_navwar_2024-06:k:5ed717fe88ce,need:lrae_navwar_2024-06:k:5ed717fe88ce,lrae_navwar_2024-06,Prospective sole-source license and network migration for ACS.,TBD,Fixed-Price,TBD,FY24,Q3,FY24,Q3,TBD,TBD - TBD,TBD - TBD,"San Diego, CA",ev:lrae_navwar_2024-06:row190
req:lrae_navwar_2024-06:k:e4cb1e08c824,need:lrae_navwar_2024-06:k:e4cb1e08c824,lrae_navwar_2024-06,NSC2I LPD 32-33 Phases 2-5,Full and Open Competition,Cost-Reimbursement,Delivery Order/Task Order (not under Federal Supply Schedule Contract),FY24,Q4,FY25,Q1,TBD,541330 - Engineering Services,"L058 - TECHNICAL REPRESENTATIVE- COMMUNICATION, DETECTION, AND COHERENT RADIATION EQUIPMENT","San Diego, CA",ev:lrae_navwar_2024-06:row191
req:lrae_navwar_2024-06:k:a3395814f3a6,need:lrae_navwar_2024-06:k:a3395814f3a6,lrae_navwar_2024-06,"CANES MAC RFP N0003924R9110
8 Systems- 3 CLIN Groups- 3 DO Awards",Full and Open Competition,Fixed-Price,Delivery Order/Task Order (not under Federal Supply Schedule Contract),FY24,Q4,FY25,Q1,TBD,334290 - Other Communications Equipment Manufacturing,7G21 - IT AND TELECOM - NETWORK: DIGITAL NETWORK PRODUCTS (HARDWARE AND PERPETUAL LICENSE SOFTWARE),"San Diego, CA",ev:lrae_navwar_2024-06:row192
req:lrae_navwar_2024-06:k:82775737d399,need:lrae_navwar_2024-06:k:82775737d399,lrae_navwar_2024-06,C2P Tech refresh hardware and spares,Full and Open Competition,TBD,Delivery Order/Task Order (not under Federal Supply Schedule Contract),TBD,TBD,FY25,Q4,TBD,TBD - TBD,TBD - TBD,"San Diego, CA",ev:lrae_navwar_2024-06:row193
req:lrae_navwar_2024-06:k:bf8fe1471f57,need:lrae_navwar_2024-06:k:bf8fe1471f57,lrae_navwar_2024-06,NSC2I.  AS(X) PHASE 1-3.,Full and Open Competition,Cost-Reimbursement,Delivery Order/Task Order (not under Federal Supply Schedule Contract),FY25,Q1,FY25,Q4,TBD,541330 - Engineering Services,"L058 - TECHNICAL REPRESENTATIVE- COMMUNICATION, DETECTION, AND COHERENT RADIATION EQUIPMENT","San Diego, CA",ev:lrae_navwar_2024-06:row196
req:lrae_navwar_2024-06:k:0484c0c6b056,need:lrae_navwar_2024-06:k:0484c0c6b056,lrae_navwar_2024-06,"This Task Order (TO) is to obtain Cybersecurity, Engineering, and Technical Support to assist with the development, procurement, testing, integration, fielding, and support of PMW/A 170 programs and systems.",Small Business Set-Aside,Cost-Reimbursement,Single-Award Indefinite-Delivery,TBD,TBD,FY26,Q4,60,TBD - TBD,TBD - TBD,"San Diego, CA",ev:lrae_navwar_2024-06:row198
req:lrae_navwar_2024-06:k:43212499131e,need:lrae_navwar_2024-06:k:43212499131e,lrae_navwar_2024-06,The objective of this Task Order (TO) is to obtain Program Management support services Support services for PMW/A 170 programs and systems.,Small Business Set-Aside,Cost-Reimbursement,Single-Award Indefinite-Delivery,TBD,TBD,FY27,Q2,TBD,TBD - TBD,TBD - TBD,"San Diego, CA",ev:lrae_navwar_2024-06:row199
req:lrae_navwar_2024-06:k:53baaa66a242,need:lrae_navwar_2024-06:k:53baaa66a242,lrae_navwar_2024-06,Order to Contract #N0003924D4005. Procurement is for MIDS JTRS LRU SRU hardware.,Full and Open Competition,TBD,Delivery Order/Task Order (not under Federal Supply Schedule Contract),TBD,TBD,FY24,Q3,TBD,TBD - TBD,"5826 - RADIO NAVIGATION EQUIPMENT, AIRBORNE","San Diego, CA",ev:lrae_navwar_2024-06:row200
req:lrae_navwar_2024-06:k:d46182320d99,need:lrae_navwar_2024-06:k:d46182320d99,lrae_navwar_2024-06,"This Task Order is for Lifecycle Logistics and Installation Services Support for the acquisition, development, procurement, testing, fielding, sustainment, End to End (E2E) system operations and support of those systems. Includes ILS, Training Development, Configuration Management and Installation Support services.",Small Business Set-Aside,Cost-Reimbursement,Single-Award Indefinite-Delivery,TBD,TBD,FY26,Q2,60,TBD - TBD,TBD - TBD,"San Diego, CA",ev:lrae_navwar_2024-06:row201
req:lrae_navwar_2024-06:k:9d82e601367e,need:lrae_navwar_2024-06:k:9d82e601367e,lrae_navwar_2024-06,"Order to Contract #N0003924D4004, Procurement is for MIDS JTRS LRU SRU hardware.",Full and Open Competition,Fixed-Price,Delivery Order/Task Order (not under Federal Supply Schedule Contract),TBD,TBD,FY24,Q3,TBD,TBD - TBD,"5826 - RADIO NAVIGATION EQUIPMENT, AIRBORNE","San Diego, CA",ev:lrae_navwar_2024-06:row202
req:lrae_navwar_2024-06:k:e8575fea6c22,need:lrae_navwar_2024-06:k:e8575fea6c22,lrae_navwar_2024-06,Time and Materials order,Sole Source,Fixed-Price,Delivery Order/Task Order (not under Federal Supply Schedule Contract),TBD,TBD,FY25,Q1,TBD,"334511 - Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",1940 - SMALL CRAFT,"San Diego, CA",ev:lrae_navwar_2024-06:row315
req:lrae_navwar_2024-06:k:a7540e662c3e,need:lrae_navwar_2024-06:k:a7540e662c3e,lrae_navwar_2024-06,Ceiling Increase,Sole Source,Fixed-Price,Single-Award Indefinite-Delivery,TBD,TBD,FY26,Q1,TBD,"334511 - Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",1940 - SMALL CRAFT,"San Diego, CA",ev:lrae_navwar_2024-06:row316
req:lrae_navwar_2024-06:k:b63eaeed55a9,need:lrae_navwar_2024-06:k:b63eaeed55a9,lrae_navwar_2024-06,EVTT Upgrade Order to Contract #N0003922D4001,Sole Source,Fixed-Price,Delivery Order/Task Order (not under Federal Supply Schedule Contract),TBD,TBD,FY24,Q4,TBD,334220 - Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,"5821 - RADIO AND TELEVISION COMMUNICATION EQUIPMENT, AIRBORNE","San Diego, CA",ev:lrae_navwar_2024-06:row317
req:lrae_navwar_2024-06:k:b0c7a4f0b6d9,need:lrae_navwar_2024-06:k:b0c7a4f0b6d9,lrae_navwar_2024-06,"Due to delay in schedule, need to extend PoP to September 30, 2024. This gives vendor time to complete install and finalize Technical Report deliverable.",Small Business Set-Aside,Cost-Reimbursement,"""C"" Type Contract",FY24,Q3,FY24,Q4,TBD,"541715 - Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",AC12 - NATIONAL DEFENSE R&D SERVICES; DEPARTMENT OF DEFENSE - MILITARY; APPLIED RESEARCH,"San Diego, CA",ev:lrae_navwar_2024-06:row320
req:lrae_navwar_2024-06:k:b9dec07ae5a4,need:lrae_navwar_2024-06:k:b9dec07ae5a4,lrae_navwar_2024-06,Modification to TO N0003924F9008 to add ODCs,Sole Source,Cost-Reimbursement,Single-Award Indefinite-Delivery,FY24,Q3,FY24,Q4,TBD,541330 - Engineering Services,DA01 - IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SUPPORT SERVICES (LABOR),"San Diego, CA",ev:lrae_navwar_2024-06:row322
req:lrae_navwar_2024-06:k:e9e82fdb9a1e,need:lrae_navwar_2024-06:k:e9e82fdb9a1e,lrae_navwar_2024-06,Award DO and fully fund,Small Business Set-Aside,Fixed-Price,Single-Award Indefinite-Delivery,TBD,TBD,FY25,Q1,TBD,"334511 - Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing","5825 - RADIO NAVIGATION EQUIPMENT, EXCEPT AIRBORNE","San Diego, CA",ev:lrae_navwar_2024-06:row323
req:lrae_navwar_2024-06:k:8fc782e1984c,need:lrae_navwar_2024-06:k:8fc782e1984c,lrae_navwar_2024-06,ENGINEERING SUPPORT SERVICES.,Full and Open Competition,TBD,TBD,TBD,TBD,FY26,Q3,59,541330 - Engineering Services,TBD - TBD,"San Diego, CA",ev:lrae_navwar_2024-06:row330
req:lrae_navwar_2024-06:k:1e755910056a,need:lrae_navwar_2024-06:k:1e755910056a,lrae_navwar_2024-06,"This contract is to stand-up, support and service Secure Integrated Global Hybrid Transport (SIGHT) to the Navy.",Sole Source,Cost-Reimbursement,"""C"" Type Contract",FY25,Q3,FY26,Q1,TBD,TBD - TBD,TBD - TBD,"San Diego, CA",ev:lrae_navwar_2024-06:row405
req:lrae_navwar_2024-06:k:81f204736ee9,need:lrae_navwar_2024-06:k:81f204736ee9,lrae_navwar_2024-06,"Order to Contract #N0003922D4001
Lot 7 DO#24F4014",Sole Source,Fixed-Price,Delivery Order/Task Order (not under Federal Supply Schedule Contract),TBD,TBD,FY25,Q1,TBD,334220 - Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,"5821 - RADIO AND TELEVISION COMMUNICATION EQUIPMENT, AIRBORNE","San Diego, CA",ev:lrae_navwar_2024-06:row406
req:lrae_navwar_2024-06:k:28c7d13662d6,need:lrae_navwar_2024-06:k:28c7d13662d6,lrae_navwar_2024-06,"Order to Contract #N0003922D4001
RRTs/CFAQT BU2 upgrade",Sole Source,Fixed-Price,Delivery Order/Task Order (not under Federal Supply Schedule Contract),TBD,TBD,FY25,Q1,TBD,334220 - Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,"5821 - RADIO AND TELEVISION COMMUNICATION EQUIPMENT, AIRBORNE","San Diego, CA",ev:lrae_navwar_2024-06:row407
req:lrae_navwar_2024-06:k:90971a1572d2,need:lrae_navwar_2024-06:k:90971a1572d2,lrae_navwar_2024-06,"This effort provides data link processing equipment for two Type 22 Frigates and three shore facilities to extend the maritime domain awareness capabilities further. The requirements and work described pertain to the new or updated software and hardware installations to the Romanian Navy to increase their capabilities in the Black Sea area of operations under the auspices of the United States Government Foreign Military Financing (FMF) program and PEO C4I, Program Manager, Warfare-740 (PMW-740).",TBD,Fixed-Price,"""C"" Type Contract",TBD,TBD,FY24,Q4,36,TBD - TBD,TBD - TBD,"San Diego, CA",ev:lrae_navwar_2024-06:row412
req:lrae_navwar_2024-06:k:75bec4b0a9d0,need:lrae_navwar_2024-06:k:75bec4b0a9d0,lrae_navwar_2024-06,"Extend services for the installation, integration, testing, and training of Maritime Surveillance System (MSS) #3 and #4.  As part of this effort, the scope will also include minor construction and training services at both Exuma and Ragged Island, The Bahamas.",Sole Source,TBD,TBD,TBD,TBD,FY25,Q1,TBD,541330 - Engineering Services,N059 - INSTALLATION OF EQUIPMENT- ELECTRICAL AND ELECTRONIC EQUIPMENT COMPONENTS,"San Diego, CA",ev:lrae_navwar_2024-06:row415
req:lrae_navwar_2024-06:k:a5fdd4a3336b,need:lrae_navwar_2024-06:k:a5fdd4a3336b,lrae_navwar_2024-06,"Order to Contract #N0003922D4001
RPS BU2 for IT",Sole Source,Fixed-Price,Delivery Order/Task Order (not under Federal Supply Schedule Contract),TBD,TBD,FY24,Q3,TBD,334220 - Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,"5821 - RADIO AND TELEVISION COMMUNICATION EQUIPMENT, AIRBORNE","San Diego, CA",ev:lrae_navwar_2024-06:row416
req:lrae_navwar_2024-06:k:b80ef3598b7c,need:lrae_navwar_2024-06:k:b80ef3598b7c,lrae_navwar_2024-06,The United Kingdom (UK-P-LWZ) requires a non-warranty repair for the R/S card from RT SN 2555,Sole Source,Fixed-Price,Delivery Order/Task Order (not under Federal Supply Schedule Contract),TBD,TBD,FY24,Q4,TBD,334220 - Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,"7G22 - IT AND TELECOM - NETWORK: SATELLITE AND RF COMMUNICATIONS PRODUCTS (HW, PERPETUAL LICENSE SOFTWARE)","San Diego, CA",ev:lrae_navwar_2024-06:row417
req:lrae_navwar_2024-06:k:0cce825ab842,need:lrae_navwar_2024-06:k:0cce825ab842,lrae_navwar_2024-06,"This Task Order, designated as a continuation from Task Order 36 and newly issued under Contract N0003917D0004, is established to support activities in Systems Engineering Management, Procurement, and Development.",Sole Source,Cost-Reimbursement,Delivery Order/Task Order (not under Federal Supply Schedule Contract),FY24,Q4,FY24,Q4,27,541330 - Engineering Services,R425 - SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,"San Diego, CA",ev:lrae_navwar_2024-06:row418
req:lrae_navwar_2024-06:k:ca1578554aff,need:lrae_navwar_2024-06:k:ca1578554aff,lrae_navwar_2024-06,WAMS Mission Planning System SBIR Phase III,Sole Source,TBD,TBD,TBD,TBD,FY24,Q4,TBD,TBD - TBD,TBD - TBD,"San Diego, CA",ev:lrae_navwar_2024-06:row421
req:lrae_navwar_2024-06:k:591df5a087ec,need:lrae_navwar_2024-06:k:591df5a087ec,lrae_navwar_2024-06,Microsoft Premier Services in support of the NAVWAR Installation Tools Prototype,Sole Source,Fixed-Price,Delivery Order/Task Order (not under Federal Supply Schedule Contract),FY24,Q4,FY24,Q4,TBD,541511 - Custom Computer Programming Services,DA10 - IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SOFTWARE AS A SERVICE,"San Diego, CA",ev:lrae_navwar_2024-06:row422
req:lrae_navwar_2024-06:k:1186adb04031,need:lrae_navwar_2024-06:k:1186adb04031,lrae_navwar_2024-06,Procure ML2 components,Sole Source,Time-and-materials,Delivery Order/Task Order (not under Federal Supply Schedule Contract),FY24,Q3,FY24,Q3,TBD,334220 - Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,"5821 - RADIO AND TELEVISION COMMUNICATION EQUIPMENT, AIRBORNE","San Diego, CA",ev:lrae_navwar_2024-06:row423
